PR_Number,Author,Score,Mesa_Triggered,Trust_Delta,Unlinked_PR,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Violation_Reasons,Time_Saved_Hours,Operational_Savings_USD,Timestamp,PR_State,Is_Bot,Repo_Slug
86634,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:12Z,Open,FALSE,ansible/ansible
86572,cuiweixie,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:12Z,Closed,FALSE,ansible/ansible
86633,benthomasson,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:13Z,Closed,FALSE,ansible/ansible
86571,jcgruenhage,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:14Z,Closed,FALSE,ansible/ansible
86632,benthomasson,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:15Z,Closed,FALSE,ansible/ansible
86570,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:16Z,Merged,FALSE,ansible/ansible
86631,benthomasson,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:17Z,Closed,FALSE,ansible/ansible
86569,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:18Z,Merged,FALSE,ansible/ansible
86627,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:19Z,Open,FALSE,ansible/ansible
86568,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:19Z,Merged,FALSE,ansible/ansible
86626,s-hertel,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:20Z,Merged,FALSE,ansible/ansible
86567,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:21Z,Merged,FALSE,ansible/ansible
86625,pkingstonxyz,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:22Z,Merged,FALSE,ansible/ansible
86566,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:23Z,Merged,FALSE,ansible/ansible
86624,s-hertel,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:24Z,Closed,FALSE,ansible/ansible
86565,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:25Z,Merged,FALSE,ansible/ansible
86623,sivel,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:26Z,Open,FALSE,ansible/ansible
86564,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:27Z,Merged,FALSE,ansible/ansible
86622,zorun,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:27Z,Open,FALSE,ansible/ansible
86563,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:28Z,Merged,FALSE,ansible/ansible
86620,anbarsaleem,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:29Z,Open,FALSE,ansible/ansible
86561,pkingstonxyz,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:30Z,Merged,FALSE,ansible/ansible
86619,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:31Z,Open,FALSE,ansible/ansible
86560,bcoca,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:32Z,Open,FALSE,ansible/ansible
