PR_Number,Author,Score,Mesa_Triggered,Trust_Delta,Unlinked_PR,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Violation_Reasons,Time_Saved_Hours,Operational_Savings_USD,Timestamp
497509,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:01Z
497508,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:01Z
497507,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:02Z
497506,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:03Z
497505,piotrkwiecinski,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:04Z
497504,quantenzitrone,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:05Z
497503,alyssais,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:05Z
497502,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:06Z
497501,kimat,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:07Z
497500,DaVinci42,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:07Z
497499,quantenzitrone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:09Z
497498,ghpzin,50,FALSE,0,0,0,0,0,,Language Antipattern x1,0.0000,0.00,2026-03-08T08:30:09Z
497497,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:10Z
497496,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:11Z
497495,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:12Z
497494,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:13Z
497492,fgaz,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:15Z
497491,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:16Z
497490,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:17Z
497489,sikmir,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:18Z
497488,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:19Z
497487,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:19Z
497486,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:21Z
497485,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:21Z
497483,app/nixpkgs-ci,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:22Z
497482,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:23Z
497481,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:24Z
497480,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:25Z
497479,UlyssesZh,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:26Z
497478,helgeu,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-08T08:30:26Z
497477,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:27Z
497476,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:28Z
497474,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:29Z
497473,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:30Z
497472,aduh95,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:32Z
497471,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:32Z
497470,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:33Z
497469,aduh95,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:33Z
497468,aduh95,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:34Z
497467,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:35Z
497466,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:35Z
497465,colonelpanic8,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:36Z
497464,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:37Z
497462,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:44Z
497461,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:45Z
497460,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:45Z
497459,Prince213,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:46Z
497458,brianmcgillion,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:47Z
497457,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:47Z
497456,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:48Z
497455,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:49Z
497454,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:50Z
497453,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:51Z
497452,tioxy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:52Z
497451,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:52Z
497450,al3xtjames,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:53Z
497449,Stebalien,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:54Z
497448,UlyssesZh,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:56Z
497447,Prince213,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:57Z
497446,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:57Z
497445,GraysonTinker,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:58Z
497444,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:30:59Z
497443,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:00Z
497442,Aleksanaa,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:01Z
497441,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:02Z
497440,Aleksanaa,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:03Z
497439,Aleksanaa,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:04Z
497438,al3xtjames,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:05Z
497437,dotlambda,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:06Z
497436,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:06Z
497435,wineee,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:07Z
497434,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:08Z
497433,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:09Z
