PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
117036,YeldhamDev,20,0,0,0,,,,2026-03-03T19:31:06Z
117035,NoctemCat,70,0,0,0,,,,2026-03-03T19:31:06Z
117034,fkeyzuwu,20,0,0,0,,,,2026-03-03T19:31:07Z
117033,virusbear,0,0,0,0,,,,2026-03-03T19:31:08Z
117031,NoctemCat,20,0,0,0,,,,2026-03-03T19:31:09Z
117030,ugursoy,20,0,0,0,,,,2026-03-03T19:31:10Z
117028,xuhuisheng,20,0,0,0,,,,2026-03-03T19:31:11Z
117026,Repiteo,20,0,0,0,,,,2026-03-03T19:31:12Z
117025,brandonhare,0,0,0,0,,,,2026-03-03T19:31:13Z
117024,migueldeicaza,20,0,0,0,,,,2026-03-03T19:31:14Z
117023,akien-mga,20,0,0,0,,,,2026-03-03T19:31:15Z
117020,mihe,70,0,0,0,,,,2026-03-03T19:31:16Z
117018,NoctemCat,20,0,0,0,,,,2026-03-03T19:31:17Z
117017,GustJc,20,0,0,0,,,,2026-03-03T19:31:17Z
117016,Mrfanta-stick,0,0,0,0,,,,2026-03-03T19:31:18Z
117015,KoBeWi,20,0,0,0,,,,2026-03-03T19:31:19Z
117013,Mrfanta-stick,20,0,0,0,,,,2026-03-03T19:31:20Z
117011,bruvzg,20,0,0,0,,,,2026-03-03T19:31:21Z
117010,bruvzg,20,0,0,0,,,,2026-03-03T19:31:22Z
117008,dalexeev,20,0,0,0,,,,2026-03-03T19:31:23Z
117004,shoyguer,20,0,0,0,,,,2026-03-03T19:31:31Z
117003,xuhuisheng,20,0,0,0,,,,2026-03-03T19:31:32Z
117002,zacharyhevey-cloud,20,0,0,0,,,,2026-03-03T19:31:33Z
116998,Goldenlion5648,20,0,0,0,,,,2026-03-03T19:31:34Z
116995,Calinou,20,0,0,0,,,,2026-03-03T19:31:35Z
116993,Calinou,70,0,0,0,,,,2026-03-03T19:31:36Z
116992,Giganzo,20,0,0,0,,,,2026-03-03T19:31:37Z
116991,jazztickets,20,0,0,0,,,,2026-03-03T19:31:38Z
116986,HolonProduction,20,0,0,0,,,,2026-03-03T19:31:39Z
116982,Calinou,70,0,0,0,,,,2026-03-03T19:31:40Z
116981,Giganzo,20,0,0,0,,,,2026-03-03T19:31:41Z
116977,Giganzo,20,0,0,0,,,,2026-03-03T19:31:42Z
116974,KoBeWi,20,0,0,0,,,,2026-03-03T19:31:44Z
116973,YeldhamDev,20,0,0,0,,,,2026-03-03T19:31:45Z
116972,ryevdokimov,20,0,0,0,,,,2026-03-03T19:31:46Z
116971,KoBeWi,20,0,0,0,,,,2026-03-03T19:31:47Z
116970,ryevdokimov,20,0,0,0,,,,2026-03-03T19:31:48Z
116966,dagarsar,20,0,0,0,,,,2026-03-03T19:31:50Z
116963,Repiteo,170,0,0,0,,Hallucinated Security Fix: PR body claims 'RCE' but only non-code files changed (yml). A real security fix requires modifying source code.,,2026-03-03T19:31:51Z
116962,blueskythlikesclouds,70,0,0,0,,,,2026-03-03T19:31:52Z
116956,KoBeWi,20,0,0,0,,,,2026-03-03T19:31:54Z
116955,van800,70,0,0,0,,,,2026-03-03T19:31:54Z
116954,dalexeev,0,0,0,0,,,,2026-03-03T19:31:55Z
116953,matheusmdx,20,0,0,0,,,,2026-03-03T19:31:56Z
116948,vaner-org,20,0,0,0,,,,2026-03-03T19:31:57Z
116945,Akosmo,20,0,0,0,,,,2026-03-03T19:31:58Z
116943,zimonitrome,0,0,0,0,,,,2026-03-03T19:31:59Z
116941,DeeJayLSP,20,0,0,0,,,,2026-03-03T19:32:00Z
116940,ryevdokimov,70,0,0,0,,,,2026-03-03T19:32:00Z
116939,gumaciel,20,0,0,0,,,,2026-03-03T19:32:01Z
116938,KoBeWi,0,0,0,0,,,,2026-03-03T19:32:02Z
116937,ErindiGR,0,0,0,0,,,,2026-03-03T19:32:03Z
116935,Grublady,0,0,0,0,,,,2026-03-03T19:32:04Z
116934,TheDying0fLight,20,0,0,0,,,,2026-03-03T19:32:05Z
116933,gumaciel,20,0,0,0,,,,2026-03-03T19:32:05Z
116932,ryevdokimov,20,0,0,0,,,,2026-03-03T19:32:06Z
116930,fkeyzuwu,20,0,0,0,,,,2026-03-03T19:32:07Z
116924,PrafulVRaj,0,0,0,0,,,,2026-03-03T19:32:08Z
116922,Quantx,70,0,0,0,,,,2026-03-03T19:32:09Z
116921,XiaoMuSWW,70,0,0,0,,,,2026-03-03T19:32:09Z
116918,wjt,20,0,0,0,,,,2026-03-03T19:32:10Z
116916,Meorge,20,0,0,0,,,,2026-03-03T19:32:11Z
116915,thompsop1sou,70,0,0,0,,,,2026-03-03T19:32:12Z
116914,Kaleb-Reid,20,0,0,0,,,,2026-03-03T19:32:13Z
116913,Kaleb-Reid,20,0,0,0,,,,2026-03-03T19:32:13Z
116912,Kaleb-Reid,20,0,0,0,,,,2026-03-03T19:32:14Z
